,0
num__EngagementScore,0.06740590353350957
num__Recency,0.06563022274197695
num__Monetary,0.043263920975243106
num__ReturnRate,0.03685998676310356
num__Frequency,0.034730443651186715
num__PurchaseGapStd,0.03376381214145174
num__TenureDays,0.02058531851389345
num__AvgBasketSize,0.017552633359451484
num__AvgOrderValue,0.015450278306892442
cat__Country_United Kingdom,0.0010578923455272133
cat__Country_Other,0.0008617261588528369
cat__Country_Germany,0.0003681191327902748
cat__Country_Spain,0.00030443302154712346
cat__Country_France,0.0002410284637576467
cat__Country_Netherlands,0.00016445638578277478
cat__Country_Sweden,0.00013671953232052253
cat__Country_Belgium,0.00013284408375465
cat__Country_Switzerland,0.00013174157564659265
